tile,x1,y1,x2,y2
1,724.23,483.14,732.15,488.42
2,708.40,477.86,716.32,483.14
3,726.87,477.86,734.79,483.14
4,708.40,472.58,716.32,477.86
5,729.51,472.58,737.43,477.86
6,711.04,467.30,718.96,472.58
7,718.96,467.30,726.87,472.58
8,726.87,467.30,734.79,472.58
9,734.79,467.30,742.71,472.58
10,716.32,462.03,724.23,467.30
11,724.23,462.03,732.15,467.30
12,732.15,462.03,740.07,467.30
13,740.07,462.03,747.99,467.30
14,716.32,456.75,724.23,462.03
15,724.23,456.75,732.15,462.03
16,732.15,456.75,740.07,462.03
17,740.07,456.75,747.99,462.03
18,747.99,456.75,755.90,462.03
19,716.32,451.47,724.23,456.75
20,724.23,451.47,732.15,456.75
21,732.15,451.47,740.07,456.75
22,718.96,446.19,726.87,451.47
